HSE Actions Item Tracker,,,,,,,,,,,,,
Sr. #,Date,Month,Auditor Name,Action Drived From,Audit Description,Area/Clauses,Actions / Recommendation,Severity,Responsible Department,Responsible Manager,Target date,Action Item Status,
1757,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Diesel Operated Forklift Truck - RMS,"Seat shoud be maintained. Reverse alrm, warning light should be provided.
",High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Pending,
1758,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Diesel Operated Forklift Truck - RMS,Steering wheel cover should be maintained. Fan should be provided.,High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Pending,
1759,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Diesel Operated Forklift Truck - RMS,Tyres should be replace wear and tear observe.,High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Pending,
1760,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Diesel Operated Forklift Truck - RMS,Fork carriage should be maintained bend observe.,High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Pending,
1761,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Diesel Operated Forklift Truck - RMS,wheels alignment & overall paint required. due to corrosion observed.,High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Pending,
1762,25/12/2026,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Diesel Operated Forklift Truck - RMS,Fire extinguisher  not availaible ,High,Stores,Muhammad Sheeraz Khan,02-Mar-26,Pending,
1763,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Hydrullic Pallet Stacker (Battery Operated) - FGS,Cleaning of equipment is required,Low,Stores,Muhammad Sheeraz Khan,01-Mar-26,Done,
1764,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Bettery Operated Forklift Truck - FGS,"Right side head light damage should be maintianed. Emergency lights should be provided.
",High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Pending,
1765,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Bettery Operated Forklift Truck - FGS,Mast Paint required.,High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Pending,
1766,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Bettery Operated Forklift Truck - FGS,Fan should be Provided.,High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Pending,
1767,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Hydrullic Pallet Stacker (Battery Operated) - FGS,Cleaning of equipment is required,Low,Stores,Muhammad Sheeraz Khan,01-Mar-26,Done,
1768,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Bettery Operated Forklift Truck - FGS,"Emergency button should be maintained,Reverse alarm emergency light should be provided.
",High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Pending,
1769,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Bettery Operated Forklift Truck - FGS,"Battery compartment loose wiring observed, Brake not working properly should be maintained.",High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Done,
1770,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Bettery Operated Forklift Truck - FGS, Head lights found damaged should be replace.,High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Pending,
1771,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Bettery Operated Forklift Truck - FGS,"Load drop observe in oad testing, hydrullic system should be maintained.",High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Pending,
1772,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Bettery Operated Forklift Truck - FGS," Front head lights indicators should be mawintained. Reverse alarm, emergency light should be provided.
",High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Pending,
1773,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Bettery Operated Forklift Truck - FGS," Emergency stop button, seat should be maintained. Overhead guard should be maintained.",High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Pending,
1774,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Bettery Operated Forklift Truck - FGS,"Battery compartment, loose wiring, mirror should be provided. Overall paint Required.",High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Done,
1775,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Bettery Operated Forklift Truck - FGS," Cut Observed in rear back tyres, should be replaced.",High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Pending,
1776,25/12/2026,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Diesel Operated Forklift Truck - RMS,Fire extinguisher  not availaible ,High,Stores,Muhammad Sheeraz Khan,02-Mar-26,Pending,
1777,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Diesel Operated Forklift Truck - RMS,Cleaning of equipment is required,Low,Stores,Muhammad Sheeraz Khan,01-Mar-26,Done,
1778,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Electric Operated Hydrullic Scissor Lift,"Control panel dhsould be proper accommodate. Warning light & treaveling alarm should be provided.
",High,ESD,Adeel Siddiqui  ,01-Mar-26,Pending,
1779,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Electric Operated Hydrullic Scissor Lift,Counter top guardrail should be fixed with safety pins. Overall cleaning and paint required.,High,ESD,Adeel Siddiqui  ,01-Mar-26,Pending,
1780,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Electric Operated Hydrullic Scissor Lift,Cleaning of equipment is required,Low,Stores,Muhammad Sheeraz Khan,01-Mar-26,Done,
1781,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Material Storage Racks - RMS,"Load notice were not displayed on racks should be availaible.
",High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Done,
1782,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Material Storage Racks - RMS,Base plate nut missing at various location. Base guard & upright guardrail should be provided.,High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Pending,
1783,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Material Storage Racks - RMS,Cleaning of equipment is required,Low,Stores,Muhammad Sheeraz Khan,01-Mar-26,Done,
1784,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Material Storage Racks - B100,"Load notice were not displayed on racks should be availaible.
",High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Done,
1785,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Material Storage Racks - PMS,Load notice were not displayed on racks should be availaible.,High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Done,
1786,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Material Storage Racks - PMS, Base plate nut missing at various location. Base guard & upright guardrail should be provided.,High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Pending,
1787,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Material Storage Racks - FLAVOUR ROOM,Cleaning of equipment is required,Low,Stores,Muhammad Sheeraz Khan,01-Mar-26,Done,
1788,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Material Storage Racks - FLAVOUR ROOM,Load notice were not displayed on racks should be availaible.,High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Done,
1789,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Material Storage Racks - FLAVOUR ROOM,Base plate nut missing at various location. Base guard & upright guardrail should be provided.,High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Pending,
1790,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Material Storage Racks - FLAVOUR ROOM,Cleaning of equipment is required,Low,Stores,Muhammad Sheeraz Khan,01-Mar-26,Done,
1791,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Material Storage Racks - FGS,"Shelf,03 Rack-2 Bracing Damage.Shelf,02 rack03, Bracing Damaged.
",High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Pending,
1792,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Material Storage Racks - FGS,"Shelf,03 rack-4 Beam damaged should be replaced. Shelf 08, Rack 05 Bracing damaged.",High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Pending,
1793,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Material Storage Racks - FGS,"Shelf 1,2,3,4,5,9 Rack-5 Bracing damaged. Beam 08 Reck-6 bracing damaged should be replaced",High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Pending,
1794,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Material Storage Racks - FGS,"Shelf 1,2,3,4,5 Rack-7 bracing damaged. Shelf 1 to 5 Rack-9 bracing damaged. Shelf 1,4,5 Rack-10 bracing damaged.",High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Pending,
1795,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Material Storage Racks - FGS,Rack-14 Beam 04 serve bend observed should be replaced.,High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Pending,
1796,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Material Storage Racks - FGS,Cleaning of equipment is required,Low,Stores,Muhammad Sheeraz Khan,01-Mar-26,Done,
1797,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Minorial Electric Power Hoist- L10 CUTTING,"Wire Rope end termination should be Maintained with socket. Mechanical end stoper should be installed.
",High,PRD,Hammad Ali Khan,01-Mar-26,Pending,
1798,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Minorial Electric Power Hoist- L10 CUTTING,Hook safety latch should be provided.,High,PRD,Hammad Ali Khan,01-Mar-26,Pending,
1799,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Minorial Electric Power Hoist- L10 CUTTING,"Trolley limit switches, Upper and lower limit switch should be provided. Pully Block Damage should be replace.",High,PRD,Hammad Ali Khan,01-Mar-26,Pending,
1800,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Minorial Electric Power Hoist- L10 CUTTING,Winch wire rope guider should be install improper reeving on which drum.,High,PRD,Hammad Ali Khan,01-Mar-26,Pending,
1801,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Minorial Electric Power Hoist- L10 CUTTING,Cleaning of equipment is required,Low,Stores,Muhammad Sheeraz Khan,01-Mar-26,Done,
1802,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Minorial Electric Power Hoist - L-7 Cutting,"Wire Rope end termination should be Maintained with socket. Mechanical end stoper should be installed.
",High,PRD,Hammad Ali Khan,01-Mar-26,Pending,
1803,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Minorial Electric Power Hoist - L-7 Cutting,Hook safety latch should be provided.,High,PRD,Hammad Ali Khan,01-Mar-26,Pending,
1804,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Minorial Electric Power Hoist - L-7 Cutting,".Trolley limit switches, Upper and lower limit switch should be provided. Pully Block Damage should be replace.",High,PRD,Hammad Ali Khan,01-Mar-26,Pending,
1805,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Minorial Electric Power Hoist - L-7 Cutting,Winch wire rope guider should be install improper reeving on which drum.,High,PRD,Hammad Ali Khan,01-Mar-26,Pending,
1806,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Minorial Electric Power Hoist - L-7 Cutting,Cleaning of equipment is required,Low,Stores,Muhammad Sheeraz Khan,01-Mar-26,Done,
1807,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Minorial Electric Power Hoist - L-9 Cutting,"Wire Rope end termination should be Maintained with socket. Mechanical end stoper should be installed.
",High,PRD,Hammad Ali Khan,01-Mar-26,Pending,
1808,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Minorial Electric Power Hoist - L-9 Cutting,Hook safety latch should be provided.,High,PRD,Hammad Ali Khan,01-Mar-26,Pending,
1809,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Minorial Electric Power Hoist - L-9 Cutting,"Trolley limit switches, Upper and lower limit switch should be provided. Pully Block Damage should be replace.",High,PRD,Hammad Ali Khan,01-Mar-26,Pending,
1810,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Minorial Electric Power Hoist - L-9 Cutting, Winch wire rope guider should be install improper reeving on which drum.,High,PRD,Hammad Ali Khan,01-Mar-26,Pending,
1811,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Minorial Electric Power Hoist - L-9 Cutting,Cleaning of equipment is required,Low,Stores,Muhammad Sheeraz Khan,01-Mar-26,Done,
1812,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Minorial Electric Power Hoist - L-4 Cutting,Wire Rope end termination should be Maintained with socket. Mechanical end stoper should be installed.,High,PRD,Hammad Ali Khan,01-Mar-26,Pending,
1813,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Minorial Electric Power Hoist - L-4 Cutting,Hook safety latch should be provided.,High,PRD,Hammad Ali Khan,01-Mar-26,Pending,
1814,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Minorial Electric Power Hoist - L-4 Cutting,"Trolley limit switches, Upper and lower limit switch should be provided. Pully Block Damage should be replace.",High,PRD,Hammad Ali Khan,01-Mar-26,Pending,
1815,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Minorial Electric Power Hoist - L-4 Cutting, Winch wire rope guider should be install improper reeving on which drum.,High,PRD,Hammad Ali Khan,01-Mar-26,Pending,
1816,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Minorial Electric Power Hoist - L-4 Cutting,Cleaning of equipment is required,Low,Stores,Muhammad Sheeraz Khan,01-Mar-26,Done,
1817,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Electric Operated Chain Block - ESD WORKSHOP,No any Major Observation,High,ESD,Adeel Siddiqui  ,01-Mar-26,Done,
1818,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Electric Operated Chain Block - ESD WORKSHOP,Cleaning of equipment is required,Low,Stores,Muhammad Sheeraz Khan,01-Mar-26,Done,
1819,25/12/2026,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Electric Operated Chain Block - ESD WORKSHOP,Fire Extinguisher not avaialble,High,Stores,Muhammad Sheeraz Khan,02-Mar-26,Pending,
1820,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Hydrullic Reach Truck (Battery Operated) - B100,-,High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Done,
1821,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Hydrullic Reach Truck (Battery Operated) - B100,Cleaning of equipment is required,Low,Stores,Muhammad Sheeraz Khan,01-Mar-26,Done,
1822,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Hydrullic Reach Truck (Battery Operated) - B100,No any Major Observation,High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Done,
1823,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Hydrullic Reach Truck (Battery Operated) - B100,Cleaning of equipment is required,Low,Stores,Muhammad Sheeraz Khan,01-Mar-26,Done,
1824,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Hydrullic Pallet Stacker (Battery Operated) - FGS,No any Major Observation,High,Stores,Muhammad Sheeraz Khan,01-Mar-26,Done,
1825,25/12/2025,Dec,Inspectest,Third Party Inspection/ Audit,Inspection of Lifting Equipments,Hydrullic Pallet Stacker (Battery Operated) - FGS,Cleaning of equipment is required,Low,Stores,Muhammad Sheeraz Khan,01-Mar-26,Done,
1826,21/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Project Site Audit,Project sites,"Poor housekeeping was observed, with materials stored in an unsafe and unsegregated manner, creating potential safety and access hazards.",Medium,PRJ,Khurram Raza,Immediate,Pending,
1827,21/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Project Site Audit,Project sites,"An unsafe electrical connection was observed for a power tool, creating a potential risk of electric shock and equipment damage.",High,PRJ,Khurram Raza,Immediate,Done,
1828,21/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Project Site Audit,Project sites,"A worker was observed performing hot work without wearing safety shoes properly, increasing the risk of foot injuries from sparks, hot metal, and falling objects.",High,PRJ,Khurram Raza,Immediate,Done,
1829,21/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Project Site Audit,Project sites,"A gas cylinder was found lying on the ground and stored in an unsafe manner, creating a risk of damage, leakage, and accidental movement.",High,PRJ,Khurram Raza,Immediate,Done,
1830,21/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Project Site Audit,Project sites,"A grinder was found without a safety guard, and exposed/bare wiring was observed on the electrical connection, creating risks of injury, electric shock, and equipment-related incidents.",High,PRJ,Khurram Raza,Immediate,Done,
1831,21/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Project Site Audit,Project sites,"Poor housekeeping was observed, with materials stored in an unsafe and unsegregated manner, creating potential safety and access hazards.",Medium,PRJ,Khurram Raza,Immediate,Pending,
1832,21/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Project Site Audit,Project sites,"Poor housekeeping was observed, with materials stored in an unsafe and unsegregated manner, creating potential safety and access hazards.",Medium,PRJ,Khurram Raza,Immediate,Pending,
1833,21/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Project Site Audit,Project sites,"A substandard electrical distribution board was observed in use, along with a two-pin plug, creating potential risks of electric shock, overheating, and improper grounding.",High,ESD,Adeel Siddiqui  ,Immediate,Pending,
1834,21/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Project Site Audit,Project sites,"Poor housekeeping was observed, with materials stored in an unsafe and unsegregated manner, creating potential safety and access hazards.",Medium,PRJ,Khurram Raza,Immediate,Pending,
1835,21/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Project Site Audit,Project sites,"A worker was observed working at height without a safety helmet and without a proper working platform, creating a significant risk of head injury and fall-related accidents.",High,PRJ,Khurram Raza,Immediate,Done,
1836,21/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Project Site Audit,Project sites,"Workers were observed performing their tasks without safety goggles and protective gloves, exposing them to the risk of eye and hand injuries.",Medium,PRJ,Khurram Raza,Immediate,Done,
1837,21/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Project Site Audit,Project sites,"Poor housekeeping was observed, with materials stored in an unsafe and unsegregated manner, creating potential safety and access hazards.",Medium,PRJ,Khurram Raza,Immediate,Done,
1838,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Mixing,"The protective side guard installed on the pillar was found damaged and partially removed, reducing protection against accidental impact.",Medium,ADM IR & HR,Shahid Bashir,06-Jul-26,Done,
1839,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Mixing,"Combustible materials were stored directly in front of the electrical distribution (DB) panel, creating a potential fire hazard and obstructing emergency access.",High,PRD,Hammad Ali Khan,Immediate,Done,
1840,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Mixing,"Combustible materials were stored directly in front of the electrical distribution (DB) panel, creating a potential fire hazard and obstructing emergency access.",High,PRD,Hammad Ali Khan,Immediate,Done,
1841,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Mixing,"Water was observed dripping from the mixer, creating a slip hazard and indicating possible equipment leakage requiring immediate attention.",High,ESD,Adeel Siddiqui  ,08-Jul-26,Pending,
1842,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Mixing,"The locking mechanism of the electrical DB panel was found damaged, allowing unauthorized access to energized electrical components.",Medium,ESD,Adeel Siddiqui  ,06-Jul-26,Done,
1843,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Mixing,"Materials were stacked in an unsafe manner and placed on designated walkways, creating trip hazards and obstructing safe movement.",Medium,PRD,Hammad Ali Khan,Immediate,Done,
1844,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Mixing,"The safety interlocking system of the mixer was found non-functional, allowing operation without the required safety protection.",High,ESD,Adeel Siddiqui  ,08-Jul-26,Pending,
1845,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Mixing,"The mixer safety net was found loose and inadequately secured, increasing the risk of contact with moving parts.",High,ESD,Adeel Siddiqui  ,Immediate,Pending,
1846,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Mixing,"The mixer safety net was completely removed, exposing workers to rotating machinery and entanglement hazards.",High,ESD,Adeel Siddiqui  ,Immediate,Pending,
1847,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Mixing,"Materials were stored unsafely on walkways, restricting access and increasing the risk of slips, trips, and falls.",Medium,PRD,Hammad Ali Khan,Immediate,Done,
1848,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Mixing,"Electrical insulating rubber mats were missing in front of the DB panels, exposing personnel to increased electrical shock risk during operation.",High,ESD,Adeel Siddiqui  ,15-Jul-26,Pending,
1849,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Cutting,"A crack was observed on the welding joint of the dough lifter, which may result in structural failure during operation.",High,ESD,Adeel Siddiqui  ,08-Jul-26,Done,
1850,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Cutting,"The floor surface was found damaged, creating an uneven walking surface and increasing the risk of trips and falls.",Low,ADM IR & HR,Shahid Bashir,08-Jul-26,Done,
1851,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Cutting,"A PPE storage box was available; however, no personal protective equipment was present inside for workers' use.",Medium,PRD,Hammad Ali Khan,Immediate,Done,
1852,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Cutting,Inadequate safe working clearance was maintained in front of the electrical DB panel due to stored materials.,High,ESD,Adeel Siddiqui  ,20-Jul-26,Pending,
1853,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Cutting,"The safety cover of the cutting roller was found removed, exposing rotating parts and creating an entanglement hazard.",High,PRD,Hammad Ali Khan,06-Jul-26,Done,
1854,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Cutting,Electrical insulating rubber mats were missing in front of the DB panels.,High,ESD,Adeel Siddiqui  ,15-Jul-26,Pending,
1855,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Cutting,"Shift handover tools were being used as seating, resulting in misuse of equipment and poor housekeeping practices.",High,PRD,Hammad Ali Khan,Immediate,Done,
1856,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Cutting,"Oil leakage was observed from the dough lifter, creating both slip hazards and potential equipment malfunction.",High,ESD,Adeel Siddiqui  ,20-Jul-26,Pending,
1857,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Cutting,"Oil leakage was observed from the dough lifter, creating both slip hazards and potential equipment malfunction.",High,ESD,Adeel Siddiqui  ,20-Jul-26,Pending,
1858,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Cutting,"One side of the dough lifter was found without the required pipe arrangement, preventing installation of the chain or interlocking safety system.",High,ESD,Adeel Siddiqui  ,20-Jul-26,Pending,
1859,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Cutting,"Materials were stacked in front of the cutting platform, blocking designated walkways and restricting safe access.",Medium,PRD,Hammad Ali Khan,Immediate,Done,
1860,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Cutting,"The safety net of the dough lifter was found damaged, reducing protection against contact with moving components.",Medium,ESD,Adeel Siddiqui  ,08-Jul-26,Pending,
1861,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Cutting,"Despite existing interim and engineering controls, the dough lifter was found operating without the required safety chain.",High,PRD,Hammad Ali Khan,Immediate,Pending,
1862,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Cutting,"Materials were stacked in an unstable and unsafe manner, increasing the risk of falling objects and workplace congestion.",Medium,PRD,Hammad Ali Khan,Immediate,Done,
1863,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Washing Area B-62,"Water accumulation created a slippery floor condition, significantly increasing the risk of slip-and-fall incidents.",High,PRD,Hammad Ali Khan,30-Jul-26,Pending,
1864,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Washing Area B-62,"No access control measures were provided at the washing area, allowing unrestricted entry into the hazardous work zone.",High,PRD,Hammad Ali Khan,20-Jul-26,Pending,
1865,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Washing Area B-62,"A drain cover was found missing, leaving an open drain that presented a serious trip and fall hazard.",High,PRD,Hammad Ali Khan,10-Jul-26,Pending,
1866,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Washing Area B-62,Janitorial personnel were observed working without anti-slip safety footwear in the wet washing area.,High,ADM IR & HR,Shahid Bashir,30-Jul-26,Pending,
1867,15/05/2026,June,Yaseen ,Critical / Specialist Audit Plan,Cutting/Mixing/Washing Area,Washing Area B-62,"Poor housekeeping was observed inside the washing area and mould room, where materials were scattered throughout the workplace, creating slip, trip, and obstruction hazards.",Medium,PRD,Hammad Ali Khan,30-Jul-26,Pending,
1868,21/01/2026,Jan,Kashif,Critical / Specialist Audit Plan,Inpection of Non Industrial Fans,Gate-1 Clerk Office,Plastic Non Industrial Fan is installed need to replace with metal fans,High,ESD,Adeel Siddiqui  ,12-Jul-26,Done,
